Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average GPA,Median Grade,Standard Deviation
CHLH,260,388,1631,319,153,309,66,37,71,21,4,23,2,46,6,3.63,A,0.57
CHLH,274,568,625,546,304,233,187,81,79,51,26,49,23,178,14,3.23,A-,0.76
CHLH,304,350,378,222,102,74,37,29,11,7,4,1,4,26,5,3.61,A,0.53
CHLH,410,0,18,0,0,6,0,0,0,0,0,0,0,0,0,3.75,A,0.43
CHLH,421,99,242,171,69,124,45,26,29,12,7,7,5,8,1,3.4,A-,0.7
CHLH,456,42,74,22,13,6,4,3,4,0,1,1,0,3,0,3.66,A,0.54
CHLH,469,11,44,35,14,3,3,1,1,0,0,0,0,1,0,3.69,A-,0.38
CHLH,594,0,32,10,6,0,0,0,0,0,0,0,0,0,0,3.85,A,0.24
CHP,199,163,171,25,9,12,2,1,2,0,0,0,0,2,1,3.89,A,0.28
CI,335,7,337,16,9,42,0,0,0,1,0,0,0,0,2,3.86,A,0.33
CI,401,73,138,31,15,15,3,4,4,2,0,0,0,3,0,3.75,A,0.44
CI,402,3,24,13,2,1,1,0,0,0,0,0,0,0,0,3.82,A,0.29
CI,403,57,141,11,4,14,2,1,3,1,0,0,0,3,0,3.81,A,0.39
CI,404,31,55,7,2,4,0,0,1,0,0,0,0,0,0,3.9,A,0.3
CI,405,53,461,136,49,42,13,10,5,3,0,0,1,4,0,3.76,A,0.42
CI,406,26,342,122,50,8,10,11,4,3,0,0,0,1,0,3.77,A,0.41
CI,407,9,345,88,37,16,5,5,2,1,0,1,0,0,1,3.82,A,0.37
CI,415,79,415,85,30,29,12,6,4,2,1,2,0,4,0,3.79,A,0.42
CI,430,150,357,93,80,64,21,6,7,1,0,1,0,1,0,3.73,A,0.44
CI,432,148,361,116,33,9,1,1,0,1,0,0,0,0,0,3.89,A,0.24
CI,433,0,51,11,3,4,1,1,1,0,0,0,0,0,0,3.8,A,0.41
CI,446,0,26,1,0,0,0,0,0,0,0,0,0,1,0,3.85,A,0.15
CI,447,11,105,2,4,1,0,0,1,0,0,0,0,1,0,3.92,A,0.23
CI,448,91,226,44,10,12,5,1,4,0,0,1,0,0,0,3.87,A,0.36
CI,450,10,341,125,46,50,14,4,2,1,0,1,0,2,0,3.72,A,0.41
CI,451,5,221,35,7,9,0,4,1,1,0,0,0,0,0,3.87,A,0.34
CI,452,9,85,13,8,2,1,0,0,0,0,0,0,0,0,3.89,A,0.25
CI,467,14,326,80,42,46,14,9,3,1,0,0,0,1,2,3.73,A,0.44
CI,473,201,422,49,5,15,0,0,2,0,0,0,0,1,0,3.94,A,0.2
CI,475,100,486,191,58,40,18,6,6,0,0,1,0,2,0,3.78,A,0.38
CI,476,35,409,136,28,26,7,5,5,3,0,0,0,0,0,3.81,A,0.38
CI,550,5,26,6,1,2,0,0,0,0,0,1,0,0,0,3.81,A,0.51
CLCV,102,798,152,83,42,38,30,17,10,13,5,7,0,31,2,3.7,A+,0.52
CLCV,114,10,22,11,8,7,10,3,6,3,1,2,0,5,1,3.07,B+,0.82
CLCV,115,708,5565,724,547,2094,215,160,500,45,39,71,37,216,18,3.48,A,0.66
CLCV,120,2,25,12,2,7,0,0,0,0,0,0,0,0,0,3.74,A,0.36
CLCV,220,11,28,12,12,13,4,4,2,1,0,0,2,4,0,3.29,A-,0.71
CLCV,224,333,1101,29,11,90,6,15,21,2,1,2,1,20,2,3.83,A,0.4
CMN,101,223,2006,1733,955,1228,463,210,178,105,53,48,22,181,37,3.31,A-,0.64
CMN,102,116,95,67,31,54,21,12,20,6,4,8,3,24,2,3.26,A-,0.77
CMN,111,15,740,259,150,115,89,24,27,22,4,2,1,25,1,3.54,A,0.58
CMN,112,0,484,203,107,76,25,12,10,10,1,1,0,6,1,3.64,A,0.49
CMN,113,21,63,46,47,50,31,9,3,1,2,1,1,3,2,3.33,B+,0.6
CMN,199,0,22,0,0,0,0,0,0,0,0,0,0,3,1,3.52,A,0.45
CMN,210,0,46,5,1,3,0,1,0,0,1,1,0,1,0,3.72,A,0.59
CMN,211,38,506,213,115,90,56,26,24,29,4,13,13,24,5,3.43,A-,0.72
CMN,212,152,352,206,153,191,93,47,56,33,9,11,8,18,1,3.32,A-,0.73
CMN,213,128,184,94,52,38,21,9,7,4,1,3,1,4,1,3.63,A,0.55
CMN,214,14,7,13,15,14,7,12,3,14,3,0,1,6,0,2.79,B,0.85
CMN,220,12,350,90,54,66,35,18,12,17,6,6,7,23,1,3.39,A,0.73
CMN,230,22,37,26,15,14,12,7,6,1,1,2,0,0,1,3.42,A-,0.7
CMN,232,31,440,147,86,102,48,27,47,18,4,9,2,16,3,3.43,A-,0.7
CMN,250,87,83,21,13,19,7,4,1,6,1,0,0,5,1,3.64,A,0.55
CMN,260,126,508,473,265,382,252,108,134,64,13,26,24,49,13,3.16,B+,0.75
CMN,275,12,51,33,25,30,22,12,18,0,5,1,1,7,3,3.12,B+,0.75
CMN,277,10,37,23,14,9,3,4,7,2,1,1,3,2,0,3.32,A-,0.82
CMN,321,0,15,14,12,10,6,5,0,2,0,1,0,2,0,3.18,B+,0.65
CMN,323,20,172,161,64,59,29,7,9,4,0,0,0,4,2,3.53,A-,0.5
CMN,326,73,129,82,90,69,66,47,23,23,21,6,3,8,3,3.16,B+,0.81
CMN,336,206,514,284,219,244,156,95,76,53,29,28,13,64,13,3.2,A-,0.78
CMN,338,1,5,11,4,3,9,7,6,4,3,2,2,3,0,2.55,B-,0.92
CMN,340,161,407,177,112,153,82,27,41,19,5,9,7,22,4,3.41,A-,0.69
CMN,345,0,61,24,19,17,6,2,4,2,1,1,0,0,0,3.51,A-,0.63
CMN,377,8,135,66,82,77,50,28,29,11,5,4,1,4,3,3.21,B+,0.72
CMN,396,163,538,424,349,439,226,167,154,102,53,50,26,59,11,3.07,B+,0.81
CMN,429,15,52,23,29,14,39,19,18,6,2,9,3,0,4,3.05,B+,0.88
CMN,432,141,113,14,14,2,0,1,0,0,0,0,0,0,0,3.94,A,0.2
CMN,435,68,244,161,91,89,22,10,13,8,3,7,2,5,1,3.52,A-,0.61
CMN,462,0,62,17,8,8,5,4,1,7,1,0,0,6,0,3.35,A,0.72
CMN,496,26,305,143,110,151,60,40,55,18,11,13,3,18,5,3.24,B+,0.75
CPSC,112,3,21,12,14,19,16,19,17,17,8,4,3,7,0,2.56,B-,0.9
CPSC,113,50,29,5,2,6,1,0,1,1,1,0,1,2,0,3.71,A+,0.58
CPSC,270,15,48,35,13,31,22,23,26,9,2,3,2,1,3,3.06,B,0.84
CPSC,440,14,224,3,19,7,1,3,1,0,0,0,0,3,1,3.85,A,0.32
CPSC,480,0,37,0,4,4,0,2,3,0,0,3,0,6,0,3.17,A,0.88
CPSC,499,3,18,5,1,1,1,1,1,1,0,2,0,2,0,3.32,A,0.87
CS,100,0,753,16,8,4,4,1,1,0,1,3,0,10,2,3.91,A,0.27
CS,101,946,983,725,657,639,496,352,316,206,151,109,71,164,32,3.09,B+,0.86
CS,105,1091,2277,1422,1197,1371,713,523,539,319,148,161,59,186,53,3.19,B+,0.8
CS,125,1169,2023,873,605,620,326,366,366,197,30,105,33,185,54,3.3,A-,0.79
CS,126,129,419,241,149,73,41,17,14,14,4,1,2,39,3,3.5,A-,0.54
CS,173,806,2016,1503,1385,1382,879,702,650,396,300,258,150,256,61,3.02,B+,0.87
CS,196,49,129,48,26,15,8,7,4,7,0,6,0,5,6,3.56,A,0.66
CS,199,14,59,1,2,3,1,0,2,0,0,0,0,2,0,3.79,A,0.4
CS,210,109,401,119,80,79,15,12,30,3,1,6,0,4,1,3.63,A,0.57
CS,225,618,5113,1152,775,1256,506,449,716,211,92,491,79,546,89,3.19,A-,0.88
CS,232,33,51,27,27,74,13,11,11,3,2,1,1,1,1,3.29,B+,0.67
CS,233,765,1866,133,107,696,60,58,388,33,12,163,20,160,21,3.31,A,0.85
CS,241,324,342,194,183,166,135,161,101,76,85,69,50,120,15,2.87,B+,0.98
CS,242,40,103,128,64,24,21,17,14,7,4,4,2,17,2,3.31,A-,0.68
CS,296,32,140,24,18,30,5,2,10,3,1,4,0,10,2,3.49,A,0.66
CS,357,399,1838,535,434,486,256,218,309,137,103,91,60,110,19,3.24,A-,0.87
CS,361,69,37,31,35,10,14,5,10,6,1,3,0,7,4,3.37,A-,0.71
CS,373,8,16,21,21,31,21,15,6,6,5,1,0,0,0,3.02,B,0.72
CS,374,128,283,243,243,203,199,154,154,96,85,33,32,36,8,2.9,B,0.89
CS,398,32,74,25,24,112,14,14,50,3,0,20,0,13,1,2.96,B,0.83
CS,410,758,259,100,34,17,8,0,7,0,0,2,0,12,5,3.87,A+,0.28
CS,411,384,1108,436,238,150,114,56,44,31,9,15,10,23,6,3.6,A,0.61
CS,412,290,447,288,216,221,147,79,63,39,6,32,2,57,8,3.28,A-,0.72
CS,416,556,234,30,45,30,5,9,2,0,3,2,0,11,14,3.83,A+,0.37
CS,418,55,67,41,40,23,11,5,7,7,1,13,0,6,1,3.34,A-,0.8
CS,421,863,1415,221,215,263,84,99,129,27,54,82,9,69,11,3.5,A,0.76
CS,423,23,28,10,4,2,1,0,0,0,0,1,0,0,0,3.82,A,0.44
CS,425,141,322,659,489,266,173,36,33,8,5,10,6,40,10,3.36,A-,0.53
CS,427,112,129,54,29,12,10,0,11,0,0,7,0,3,4,3.68,A,0.58
CS,428,5,17,12,5,5,4,1,0,0,0,0,0,1,0,3.53,A-,0.47
CS,433,1,17,30,30,27,8,6,2,2,2,1,0,0,2,3.25,B+,0.6
CS,435,16,187,36,19,15,8,0,9,1,2,2,2,17,8,3.5,A,0.63
CS,437,188,159,28,11,12,15,8,8,7,3,4,1,15,9,3.61,A,0.63
CS,440,75,260,62,63,198,27,25,54,7,6,20,7,19,3,3.22,B+,0.79
CS,441,42,1225,146,55,36,23,18,12,12,7,2,7,37,15,3.74,A,0.49
CS,445,120,135,77,23,20,14,9,3,8,2,4,4,16,5,3.51,A,0.67
CS,446,37,162,116,91,60,36,7,11,1,2,6,0,5,2,3.46,A-,0.58
CS,447,93,132,90,32,19,6,4,1,0,0,2,0,16,4,3.6,A,0.43
CS,450,8,3,2,3,2,0,1,1,0,0,0,0,2,1,3.26,A,0.64
CS,460,1,40,5,9,1,2,0,4,0,0,0,0,3,1,3.52,A,0.57
CS,461,4,46,15,22,108,2,10,47,1,0,6,0,0,2,3.0,B,0.72
CS,465,10,90,48,31,31,5,4,3,0,0,1,0,1,1,3.58,A-,0.5
CS,473,6,19,9,15,17,12,14,15,7,4,2,0,0,0,2.9,B,0.83
CS,484,23,152,22,8,55,4,4,23,1,0,4,2,8,6,3.42,A,0.73
CS,498,2238,5232,1492,972,892,449,242,276,133,80,87,26,183,37,3.58,A,0.63
CS,519,84,262,87,41,42,5,3,5,0,0,1,0,4,1,3.74,A,0.41
CS,525,7,18,21,25,4,2,0,0,0,0,0,0,0,0,3.61,A-,0.34
CS,598,799,2241,559,277,212,67,21,37,5,7,4,2,21,17,3.79,A,0.4
CW,100,45,210,60,41,32,14,7,5,6,2,1,1,9,1,3.58,A,0.57
CWL,114,20,17,7,5,6,2,1,6,0,0,1,2,2,1,3.34,A,0.85
CWL,207,6,134,3,0,4,2,0,2,0,0,0,1,3,1,3.83,A,0.41
CWL,241,24,108,40,14,14,6,2,8,4,0,1,1,7,1,3.53,A,0.62
CWL,242,27,32,11,10,7,4,4,1,2,1,4,1,8,1,3.23,A,0.84
DANC,100,1082,1827,368,176,121,72,42,38,21,15,16,15,54,11,3.74,A,0.51
DANC,101,5,9,5,5,2,0,0,0,0,0,0,0,0,1,3.73,A,0.33
DANC,105,44,49,8,6,4,0,1,0,0,0,0,1,1,0,3.83,A,0.41
DANC,106,7,22,4,0,2,0,0,0,0,1,0,0,1,0,3.73,A,0.49
DANC,112,19,50,29,4,6,2,0,1,0,0,1,0,0,0,3.77,A,0.44
DANC,201,5,8,6,2,2,0,0,0,0,0,0,0,1,0,3.61,A,0.35
EALC,230,23,41,5,2,1,2,0,1,0,0,0,0,0,0,3.88,A,0.35
EALC,250,15,31,35,36,31,26,9,10,8,3,1,4,18,2,2.89,B+,0.78
EALC,275,38,97,83,41,41,11,11,9,5,2,6,0,4,0,3.43,A-,0.67
ECE,110,1018,1921,1120,856,904,512,361,422,203,103,102,34,253,26,3.21,A-,0.78
ECE,120,264,831,593,434,465,261,184,188,87,65,62,40,124,9,3.12,B+,0.81
ECE,190,35,165,99,84,94,111,84,76,61,50,30,24,49,13,2.69,B-,0.95
ECE,198,33,114,99,110,124,116,87,73,58,20,36,13,20,3,2.79,B,0.87
ECE,199,97,22,4,3,4,1,3,0,2,0,0,0,3,1,3.78,A+,0.43
ECE,205,176,244,147,133,187,109,96,138,35,5,28,2,22,3,3.11,B+,0.81
ECE,206,231,1237,327,195,152,46,6,20,11,5,7,1,22,3,3.71,A,0.46
ECE,210,324,586,413,639,903,639,503,721,469,137,249,84,185,44,2.66,B-,0.88
ECE,220,154,457,309,260,320,223,168,158,102,35,66,43,75,8,2.96,B,0.88
ECE,290,24,146,96,97,158,92,93,86,51,22,21,1,20,4,2.87,B,0.81
ECE,310,153,402,243,288,442,235,150,180,100,47,41,16,59,7,2.98,B,0.81
ECE,311,263,803,263,119,137,64,28,63,19,10,16,7,54,6,3.5,A,0.66
ECE,313,218,481,343,485,898,480,454,561,279,141,168,30,128,21,2.71,B,0.84
ECE,314,45,117,31,18,16,7,3,0,3,0,0,0,11,0,3.59,A,0.47
ECE,316,85,592,241,124,100,33,20,19,6,1,0,2,0,6,3.67,A,0.5
ECE,329,244,426,292,289,391,241,249,246,177,58,100,18,137,15,2.82,B,0.88
ECE,330,64,254,98,90,350,106,76,206,48,27,92,40,25,2,2.77,B,0.95
ECE,333,18,95,29,29,100,32,11,36,7,1,13,1,1,1,3.12,B,0.8
ECE,340,178,354,177,240,439,177,187,338,164,32,164,35,150,13,2.65,B,0.93
ECE,342,74,213,131,180,160,101,74,78,41,11,22,8,26,3,3.05,B+,0.8
ECE,343,16,385,147,71,36,10,4,4,2,0,0,3,11,2,3.68,A,0.44
ECE,350,12,8,22,4,10,6,10,2,4,0,0,0,0,0,3.26,A-,0.71
ECE,365,18,64,21,10,9,8,2,3,3,0,1,0,3,0,3.55,A,0.61
ECE,385,33,119,43,53,37,7,10,9,5,5,4,2,7,3,3.39,A-,0.72
ECE,391,16,99,47,84,74,38,23,28,17,4,9,11,25,1,2.94,B+,0.84
ECE,398,2,10,5,4,1,2,0,1,0,1,0,0,0,0,3.51,A-,0.67
ECE,408,20,216,123,123,212,95,63,92,26,10,18,15,15,3,3.03,B,0.8
ECE,410,3,21,10,5,23,6,7,13,5,6,7,7,5,0,2.58,B,1.04
ECE,411,24,86,104,68,52,40,27,17,17,17,7,7,4,1,3.13,B+,0.84
ECE,430,5,21,9,7,52,13,13,30,10,2,11,2,1,1,2.69,B,0.86
ECE,440,41,50,41,39,59,39,37,57,36,1,22,3,22,2,2.71,B,0.9
ECE,444,66,182,72,38,116,36,9,51,8,0,8,1,2,1,3.35,A-,0.74
ECE,445,2,7,21,20,25,11,12,6,0,0,1,0,1,0,3.07,B,0.59
ECE,450,16,25,5,14,22,16,4,2,3,0,1,0,1,0,3.28,B+,0.67
ECE,470,9,22,21,20,12,3,7,1,3,4,2,0,0,0,3.29,A-,0.78
ECE,486,5,21,8,7,9,4,0,3,1,2,0,1,1,0,3.31,A-,0.79
ECE,498,19,48,43,23,27,25,14,12,7,5,7,2,2,0,3.13,B+,0.85
ECE,544,5,22,21,7,8,2,0,0,0,0,0,0,0,1,3.66,A-,0.38
ECE,549,77,593,52,37,119,3,5,26,1,0,5,1,6,9,3.71,A,0.53
ECE,598,5,25,10,7,4,0,0,0,0,0,0,0,0,1,3.76,A,0.33
ECON,102,6709,11178,3630,2947,4650,1444,1190,1732,512,381,529,159,647,113,3.38,A,0.76
ECON,103,1494,4455,3154,2974,3481,1805,1392,1670,738,376,589,213,647,123,3.03,B+,0.83
ECON,199,20,0,0,0,0,0,0,1,0,0,0,0,0,0,3.9,A+,0.43
ECON,202,369,2828,561,718,2820,375,490,1368,197,225,473,120,274,66,2.94,B,0.9
ECON,203,1540,1610,1386,1413,1801,1288,1058,1252,677,511,500,322,759,129,2.74,B,0.94
ECON,302,1965,2759,2075,1868,2074,1630,1163,1179,944,564,552,404,932,93,2.85,B,0.93
ECON,303,252,661,667,801,845,559,411,311,182,93,76,49,87,27,2.99,B,0.78
ECON,411,14,53,36,36,43,18,35,37,9,4,2,1,5,2,2.99,B,0.79
ECON,414,6,31,5,6,27,1,2,20,0,0,0,0,1,0,3.18,B,0.76
ECON,418,4,4,5,3,4,2,5,4,3,4,0,0,0,0,2.83,B,0.92
ECON,420,12,9,8,6,8,6,3,2,1,1,1,1,2,0,3.15,B+,0.82
ECON,426,15,23,22,26,23,25,10,10,3,0,1,0,3,0,3.13,B+,0.67
ECON,437,127,91,37,32,24,11,7,8,2,8,0,0,5,0,3.59,A,0.62
ECON,440,9,122,53,59,40,28,27,26,3,0,0,1,6,0,3.29,B+,0.68
ECON,450,8,30,14,15,15,13,7,11,7,4,4,3,7,0,2.86,B,0.93
ECON,452,22,34,45,30,16,11,3,2,2,1,0,0,1,1,3.49,A-,0.53
ECON,469,20,7,5,5,9,5,2,0,1,0,0,0,0,0,3.51,A,0.59
ECON,471,62,212,132,165,153,113,103,116,81,46,77,14,30,9,2.8,B,0.94
ECON,474,5,8,0,1,4,1,0,3,0,0,0,0,2,0,3.17,A,0.75
ECON,475,22,131,21,20,58,13,8,27,0,2,6,3,3,0,3.34,A-,0.8
ECON,480,41,78,59,43,54,44,18,14,14,4,16,11,8,2,3.06,B+,0.91
ECON,481,20,22,3,12,4,5,8,3,2,0,0,1,4,3,3.25,A,0.77
ECON,483,24,48,42,47,34,14,5,0,1,0,0,0,1,0,3.48,A-,0.48
ECON,484,26,27,1,0,13,0,0,9,0,0,0,0,0,0,3.59,A,0.69
ECON,490,701,1084,627,667,698,370,203,183,117,42,78,31,76,28,3.27,B+,0.76
ECON,491,9,24,4,3,2,1,0,0,0,0,0,0,0,1,3.85,A,0.32
ECON,500,61,216,189,172,144,94,21,16,5,0,0,0,0,2,3.43,A-,0.53
ECON,502,10,63,85,96,83,30,15,4,0,0,0,0,0,1,3.36,B+,0.47
ECON,503,60,157,102,88,76,23,7,8,0,0,0,0,0,1,3.56,A-,0.48
ECON,506,31,111,82,75,79,38,5,1,0,0,0,0,0,1,3.49,A-,0.47
ECON,508,35,115,68,48,61,6,1,0,0,0,0,0,0,0,3.62,A-,0.41
ECON,528,642,4081,1184,846,573,237,152,89,52,17,16,9,147,29,3.61,A,0.52
ECON,529,1750,2260,745,435,411,169,93,46,21,14,10,2,80,31,3.69,A,0.48
ECON,567,15,34,12,5,4,1,0,1,0,0,1,0,0,0,3.76,A,0.5
ECON,568,38,109,45,19,16,0,9,0,1,0,0,0,0,0,3.74,A,0.43
ECON,590,26,97,69,52,35,13,2,3,2,1,0,0,1,2,3.57,A-,0.49
EDUC,101,538,1141,28,11,51,9,5,23,3,2,10,2,21,4,3.86,A,0.41
EDUC,201,167,728,143,80,57,23,16,16,8,2,3,5,27,3,3.68,A,0.51
EDUC,202,266,622,220,117,88,26,21,9,5,3,5,3,10,2,3.71,A,0.49
ENG,100,0,1160,0,0,78,0,0,14,0,0,7,0,7,2,3.88,A,0.38
ENG,101,0,1162,28,21,152,15,7,51,2,2,26,1,49,3,3.61,A,0.63
ENG,111,45,85,14,2,1,0,0,5,0,0,4,0,0,1,3.81,A,0.59
ENG,177,72,281,55,24,19,1,4,3,0,1,3,2,6,0,3.77,A,0.47
ENG,198,302,1318,374,193,154,27,14,34,5,2,11,1,17,7,3.73,A,0.46
ENG,199,190,556,34,18,78,12,2,14,3,1,4,2,14,4,3.75,A,0.49
ENG,298,23,56,35,18,9,12,2,1,1,1,0,1,16,1,3.28,A-,0.62
ENG,300,35,65,1,2,2,0,1,1,0,0,0,0,0,0,3.93,A,0.29
ENG,315,14,58,27,19,10,6,3,0,1,2,0,0,1,1,3.6,A,0.54
ENG,333,18,73,25,14,16,7,4,1,3,1,0,1,3,0,3.54,A,0.61
ENG,398,3,176,6,2,30,0,1,2,0,0,0,0,1,0,3.81,A,0.4
ENG,491,1,8,11,3,1,0,0,0,0,0,0,0,0,0,3.72,A-,0.27
ENGL,101,6,104,74,48,64,15,17,10,2,2,4,1,6,4,3.33,A-,0.65
ENGL,102,0,6,22,11,13,12,8,5,1,0,0,0,3,4,3.0,B,0.6
ENGL,103,3,25,18,25,9,11,4,3,2,0,2,0,5,1,3.16,B+,0.67
ENGL,104,201,1004,675,579,514,270,151,118,69,30,30,31,113,17,3.24,B+,0.71
ENGL,109,89,616,428,266,187,98,41,25,20,4,4,4,43,9,3.45,A-,0.56
ENGL,115,10,38,23,5,10,0,1,0,0,0,0,0,2,1,3.66,A,0.37
ENGL,116,10,222,139,89,62,35,5,7,5,2,1,0,3,2,3.54,A-,0.52
ENGL,119,8,36,12,10,8,6,2,2,0,0,0,0,2,0,3.51,A,0.54
ENGL,120,4,11,4,3,0,0,0,0,0,0,0,0,0,0,3.85,A,0.24
ENGL,200,59,519,428,236,152,72,37,32,10,4,2,3,31,6,3.47,A-,0.54
ENGL,218,20,124,90,35,25,16,3,1,2,0,0,0,7,1,3.57,A-,0.45
ENGL,245,4,37,36,20,13,5,0,1,1,0,0,0,1,0,3.55,A-,0.45
ENGL,247,0,11,19,10,9,2,2,3,0,0,0,0,3,0,3.22,A-,0.55
ENGL,250,0,8,17,9,7,3,1,0,0,0,0,0,0,0,3.46,A-,0.42
ENGL,251,1,12,22,31,16,4,3,1,0,0,0,0,2,1,3.3,B+,0.43
ENGL,273,3,17,20,21,15,3,3,3,1,0,0,0,0,1,3.38,B+,0.54
ENGL,280,0,17,4,2,10,2,3,4,1,1,1,0,0,2,3.19,B+,0.84
ENGL,300,15,114,133,96,60,32,21,7,8,1,4,0,14,4,3.31,A-,0.59
ENGL,301,15,453,405,197,93,35,22,11,12,5,4,2,24,11,3.51,A-,0.52
ENGL,350,11,64,25,17,9,1,2,1,0,0,2,0,5,0,3.55,A,0.53
ENGL,373,13,24,27,23,9,12,9,12,1,0,1,0,1,0,3.26,B+,0.7
ENGL,418,3,84,80,89,113,26,12,33,5,0,0,1,4,0,3.22,B+,0.6
ENGL,419,0,18,8,15,23,6,4,9,1,0,0,0,3,0,3.05,B,0.64
ENGL,455,2,76,110,89,34,24,10,3,2,1,1,0,8,3,3.37,A-,0.5
ENGL,460,4,4,4,1,5,2,2,0,1,1,2,0,5,1,2.58,B,0.98
ENGL,461,0,11,5,3,5,2,2,0,2,0,0,0,0,0,3.36,A-,0.69
ENVS,301,13,17,3,2,4,0,0,1,0,0,2,0,2,1,3.49,A,0.73
EOL,440,1,265,48,14,8,0,0,0,0,0,1,0,0,2,3.89,A,0.27
EOL,547,6,20,9,4,3,1,0,1,0,0,0,0,0,0,3.73,A,0.43
EOL,568,7,53,6,2,3,0,0,3,0,0,1,0,2,0,3.7,A,0.55
EPOL,202,1,32,2,2,3,2,1,0,0,0,1,0,3,0,3.48,A,0.63
EPOL,310,0,22,0,0,6,0,0,0,0,0,0,0,0,1,3.79,A,0.41
EPOL,472,0,63,4,0,1,1,0,0,0,0,1,0,7,1,3.55,A,0.51
EPOL,483,88,77,5,6,1,3,0,2,1,0,2,0,7,0,3.73,A,0.47
EPOL,515,0,17,2,0,1,0,0,0,0,0,0,0,2,0,3.56,A,0.41
EPOL,517,0,105,4,2,1,0,0,0,0,0,0,0,2,2,3.9,A,0.15
EPOL,550,0,74,2,1,1,0,0,1,1,0,0,0,0,0,3.92,A,0.36
EPS,201,136,158,86,41,24,3,3,0,0,0,0,1,1,3,3.79,A,0.36
EPS,202,88,259,104,51,23,8,2,0,3,1,0,1,3,0,3.76,A,0.4
EPS,310,45,169,27,24,18,12,1,8,4,0,1,1,7,0,3.62,A,0.57
EPS,410,0,28,29,8,2,0,0,0,0,0,0,0,0,0,3.75,A-,0.26
EPS,529,12,112,38,8,7,0,0,1,0,0,0,0,0,1,3.85,A,0.29
EPS,530,0,26,7,0,1,0,0,0,0,0,0,0,0,0,3.9,A,0.21
EPS,536,2,119,3,0,2,3,1,1,0,0,1,0,1,0,3.87,A,0.41
EPS,590,16,66,12,4,2,2,0,0,0,0,0,0,0,0,3.89,A,0.27
EPSY,203,27,58,6,6,4,12,2,2,4,1,0,3,2,0,3.5,A,0.79
EPSY,220,351,1096,145,74,113,14,12,43,10,10,15,0,77,6,3.62,A,0.55
EPSY,408,72,3,0,1,3,0,0,0,0,0,0,0,0,0,3.95,A+,0.2
EPSY,430,39,271,44,31,14,6,2,2,1,0,0,0,0,0,3.84,A,0.35
EPSY,456,50,23,11,10,6,7,0,0,1,1,1,1,0,0,3.67,A,0.63
EPSY,480,3,87,14,5,15,6,4,4,2,0,4,0,8,0,3.38,A,0.73
EPSY,485,26,56,7,4,3,2,0,0,0,0,0,0,1,0,3.85,A,0.29
EPSY,590,26,8,0,1,1,0,0,0,0,0,0,0,0,0,3.95,A+,0.2
ESE,200,46,69,91,79,78,36,20,19,10,7,7,4,14,5,3.14,B+,0.74
ESE,320,7,17,18,20,13,1,3,5,1,0,2,2,0,0,3.28,B+,0.78
ESE,482,6,14,7,7,1,2,1,1,4,2,0,0,3,1,3.15,A-,0.85
ESE,497,3,7,9,2,0,0,0,0,0,0,0,0,0,0,3.79,A-,0.22
ESL,115,4,24,6,0,6,0,0,1,0,0,0,0,1,0,3.67,A,0.45
FAA,220,55,20,3,2,0,0,1,0,1,0,1,0,0,0,3.89,A+,0.46
FIN,221,337,5725,1548,1230,3192,798,555,1389,255,185,512,0,260,69,3.19,B+,0.82
