Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average GPA,Median Grade,Standard Deviation
MATH,447,32,22,19,22,30,8,3,10,4,2,3,1,4,1,3.19,B+,0.78
MATH,453,65,235,64,63,58,32,37,38,14,7,8,5,9,7,3.32,A-,0.81
MATH,461,167,340,239,201,278,189,130,211,102,26,109,25,128,25,2.78,B,0.92
MATH,471,74,211,116,95,136,51,60,96,24,15,34,14,40,4,2.96,B+,0.9
MATH,476,18,29,22,30,20,22,6,6,13,3,8,6,3,2,2.96,B+,0.95
MATH,478,3,12,14,3,9,10,1,8,2,2,4,2,2,0,2.84,B,0.97
MATH,482,19,45,21,11,4,9,0,4,3,3,1,2,1,1,3.46,A,0.8
MATH,490,3,2,4,4,4,4,3,0,1,0,0,0,0,0,3.17,B+,0.63
MBA,501,142,1087,916,832,823,202,34,6,1,0,0,0,0,0,3.5,A-,0.44
MBA,502,132,1375,963,656,711,161,52,16,2,0,1,0,0,0,3.56,A-,0.45
MBA,503,156,756,507,361,299,45,1,6,1,1,2,0,2,0,3.63,A-,0.41
MBA,504,226,681,285,202,137,59,18,25,5,0,1,0,0,0,3.67,A,0.48
MBA,505,63,738,634,499,344,98,15,7,1,1,0,0,0,1,3.56,A-,0.42
MBA,541,741,401,45,17,22,6,3,5,0,0,0,2,6,1,3.92,A+,0.27
MBA,542,842,152,14,20,6,0,4,0,0,2,0,0,0,0,3.97,A+,0.2
MBA,546,28,728,82,16,20,8,0,0,0,0,0,0,0,0,3.92,A,0.23
MBA,547,149,222,32,9,4,7,2,0,0,0,0,0,3,0,3.89,A,0.25
MBA,548,0,264,82,52,35,24,12,8,2,2,2,0,8,0,3.57,A,0.56
MBA,551,0,1580,422,23,68,16,7,11,1,0,2,0,14,2,3.84,A,0.31
MBA,552,660,580,324,190,110,30,18,10,0,0,4,0,4,6,3.76,A,0.4
MBA,561,698,474,184,83,58,20,14,18,5,1,12,0,18,17,3.76,A,0.47
MBA,562,803,78,8,1,5,1,3,3,1,0,1,0,5,3,3.95,A+,0.22
MBA,563,246,428,358,86,20,0,0,0,0,0,0,0,8,0,3.8,A,0.24
MBA,564,691,121,121,55,43,4,1,13,2,4,0,2,10,1,3.8,A+,0.41
MCB,101,251,519,327,274,291,108,87,72,42,17,21,2,8,3,3.38,A-,0.7
MCB,104,2,6,12,5,3,1,0,1,0,0,0,0,0,1,3.55,A-,0.45
MCB,150,646,1239,1480,1422,1282,981,752,548,448,217,127,81,118,37,3.02,B+,0.8
MCB,151,368,252,123,91,54,32,15,4,1,5,2,0,4,3,3.72,A,0.47
MCB,199,31,6,2,1,3,0,0,0,0,0,0,0,0,1,3.9,A+,0.27
MCB,244,43,80,34,50,147,35,58,47,28,12,11,9,6,2,2.9,B,0.84
MCB,245,680,645,749,874,910,787,575,489,353,223,174,130,226,48,2.83,B,0.88
MCB,247,247,322,556,643,653,571,331,315,217,91,84,56,93,13,2.86,B,0.8
MCB,250,132,184,244,266,255,259,232,212,149,110,89,53,96,14,2.62,B-,0.91
MCB,251,540,817,679,465,342,196,109,71,38,23,10,8,13,5,3.48,A-,0.62
MCB,252,433,781,608,467,376,299,210,151,75,49,33,24,21,5,3.29,A-,0.76
MCB,253,812,940,670,476,256,160,88,33,14,15,7,1,6,7,3.61,A,0.53
MCB,301,9,195,270,317,295,117,81,42,13,8,2,3,2,2,3.23,B+,0.58
MCB,316,9,24,25,15,22,10,10,11,9,1,7,0,5,0,2.94,B,0.86
MCB,317,48,384,0,65,544,0,27,226,0,9,55,0,12,3,3.04,B,0.82
MCB,334,0,383,0,0,233,0,0,67,0,0,9,0,3,2,3.42,A,0.72
MCB,354,146,157,193,178,185,169,164,118,84,71,34,27,12,2,2.88,B,0.9
MCB,405,2,36,0,8,32,0,2,8,0,1,4,0,0,0,3.23,B,0.81
MCB,408,67,57,50,19,17,9,4,2,0,1,0,0,0,0,3.68,A,0.47
MCB,428,14,104,117,97,89,35,12,4,2,1,0,0,0,0,3.42,B+,0.49
MCB,493,46,140,85,56,60,27,12,16,9,5,1,3,1,1,3.43,A-,0.69
MDIA,100,148,136,71,42,41,23,11,10,7,5,5,0,15,0,3.48,A,0.65
ME,170,143,99,19,9,8,1,2,0,0,0,1,0,1,0,3.89,A+,0.31
ME,199,329,1846,65,15,112,21,8,34,6,0,6,1,1,7,3.88,A,0.4
ME,200,59,266,147,113,140,73,21,38,11,4,8,1,14,3,3.34,A-,0.66
ME,270,0,12,7,7,0,6,0,1,1,0,0,0,0,0,3.43,A-,0.62
ME,300,137,280,282,282,332,185,125,133,49,29,41,20,64,22,2.99,B+,0.79
ME,310,90,234,233,193,212,128,95,110,48,22,20,3,23,4,3.08,B+,0.77
ME,320,61,143,153,160,180,120,70,78,34,17,18,4,19,6,3.02,B,0.76
ME,330,189,383,427,281,221,145,71,68,28,6,12,4,1,0,3.38,A-,0.65
ME,340,125,344,193,134,192,65,54,78,24,7,14,6,17,5,3.3,A-,0.74
ME,360,120,317,234,158,191,107,39,56,18,4,12,6,13,0,3.33,A-,0.69
ME,370,117,333,276,186,179,81,46,27,23,3,5,4,4,2,3.42,A-,0.62
ME,371,202,479,356,210,120,44,12,6,6,1,3,0,9,1,3.63,A-,0.44
ME,470,22,161,44,12,8,2,1,3,1,0,0,0,0,0,3.83,A,0.37
ME,481,19,16,13,5,10,6,4,1,0,1,0,0,2,0,3.42,A-,0.61
MS,101,36,196,123,47,19,14,1,4,4,1,0,0,1,1,3.7,A,0.44
MS,166,6,31,14,14,14,5,4,2,2,0,1,0,0,0,3.43,A-,0.65
MS,264,1,25,19,13,8,3,1,0,0,0,0,0,0,0,3.59,A-,0.42
MS,320,9,28,7,5,5,4,2,1,1,2,1,0,1,0,3.45,A,0.76
MS,326,2,29,24,20,29,27,17,17,18,2,4,3,5,0,2.79,B,0.84
MS,351,3,22,14,20,30,4,4,3,2,0,1,0,2,1,3.22,B+,0.6
MS,356,0,10,16,11,14,7,0,3,2,1,0,0,1,0,3.18,B+,0.62
MSE,280,9,42,17,54,47,41,24,21,8,11,3,2,3,3,2.93,B,0.77
MSE,457,2,13,4,1,15,2,3,4,1,0,0,0,0,0,3.22,B,0.7
MUS,101,8,5,6,0,1,3,0,0,0,0,1,0,0,0,3.58,A,0.7
MUS,102,20,63,61,27,36,17,15,11,10,2,4,2,11,1,3.16,A-,0.77
MUS,103,30,23,9,10,6,4,2,3,0,2,0,1,3,1,3.45,A,0.7
MUS,107,37,81,34,35,36,14,14,16,9,3,1,5,9,0,3.22,A-,0.8
MUS,108,45,67,34,32,31,18,10,12,7,3,3,0,8,0,3.28,A-,0.74
MUS,110,3,6,18,10,20,16,8,2,2,4,0,3,5,0,2.8,B,0.78
MUS,130,391,317,178,113,102,73,37,34,24,16,13,22,63,8,3.33,A,0.78
MUS,132,902,566,211,76,68,39,29,20,17,7,11,4,42,9,3.7,A,0.53
MUS,133,2126,1909,1222,764,974,391,214,259,109,48,55,31,148,22,3.45,A-,0.67
MUS,201,8,13,12,5,15,5,3,7,0,0,0,2,1,0,3.17,B+,0.78
MUS,202,6,25,29,30,25,23,12,15,8,0,3,1,3,2,3.01,B+,0.75
MUS,207,2,6,7,3,1,0,0,1,0,0,0,0,1,0,3.46,A-,0.49
MUS,241,32,67,34,5,1,1,1,2,1,0,0,0,0,0,3.83,A,0.38
MUS,242,11,9,4,1,2,0,0,0,0,0,0,0,1,0,3.71,A,0.32
MUS,250,5,712,32,11,12,3,0,5,0,0,3,0,2,1,3.92,A,0.3
MUS,261,10,12,4,4,2,0,0,0,0,0,0,0,0,0,3.81,A,0.31
MUS,272,88,85,8,1,1,2,0,0,0,0,0,0,2,0,3.92,A,0.18
MUS,408,9,35,17,16,7,3,1,0,1,1,1,1,0,1,3.56,A-,0.65
MUS,450,19,1,0,0,1,0,0,0,0,0,0,0,0,0,3.95,A+,0.21
MUS,499,31,78,40,23,48,7,4,3,5,0,0,0,0,2,3.54,A-,0.56
MUS,501,9,33,21,24,19,10,1,2,0,0,0,0,2,1,3.43,A-,0.5
MUSC,487,0,316,0,0,2,0,0,1,0,0,0,0,0,1,3.99,A,0.14
NPRE,101,2,27,34,17,30,21,17,11,1,0,0,1,2,0,3.11,B,0.66
NPRE,201,39,595,428,172,146,73,24,34,8,1,3,0,16,2,3.54,A-,0.52
NRES,100,43,83,29,31,24,16,11,14,5,4,6,2,18,2,3.16,A-,0.82
NRES,102,412,1237,925,719,600,361,207,194,96,58,49,32,166,23,3.23,A-,0.73
NRES,419,12,7,16,9,7,2,1,1,1,0,0,0,1,0,3.46,A-,0.53
NRES,454,59,73,31,13,23,6,1,6,2,0,2,0,3,2,3.61,A,0.58
NRES,456,18,18,7,23,17,12,4,7,2,7,2,0,3,0,3.06,B+,0.82
NUTR,510,3,40,0,0,14,0,0,7,0,0,3,0,0,1,3.45,A,0.85
PHIL,100,10,87,109,88,63,58,28,18,12,5,3,2,19,3,3.1,B+,0.68
PHIL,101,73,546,683,602,610,358,224,138,59,39,29,29,111,21,3.08,B+,0.69
PHIL,102,318,1365,752,602,627,433,265,234,144,63,95,63,263,21,3.08,B+,0.82
PHIL,103,61,136,77,53,70,40,25,39,32,8,24,16,47,7,2.86,B+,0.96
PHIL,104,0,7,5,11,11,3,4,0,1,0,1,1,0,1,3.11,B+,0.73
PHIL,105,24,197,258,267,292,124,66,47,23,11,8,11,31,5,3.12,B+,0.65
PHIL,202,0,7,8,0,0,1,0,0,3,0,0,0,12,1,2.1,B-,1.22
PHIL,210,4,38,29,19,9,13,5,2,3,1,0,0,0,0,3.43,A-,0.63
PHIL,214,7,52,78,65,47,18,16,3,4,1,0,0,3,2,3.33,B+,0.54
PHYS,100,693,1187,668,769,1280,399,188,263,109,77,36,27,15,24,3.28,B+,0.71
PHYS,101,1120,1224,856,826,798,982,887,939,640,488,328,429,170,74,2.74,B-,1.02
PHYS,102,693,1015,743,749,720,816,632,650,506,268,185,210,67,30,2.85,B,0.95
PHYS,211,4188,3577,2274,2134,1935,1949,1614,1563,1165,788,591,818,458,147,2.97,B+,0.99
PHYS,212,3078,2921,1940,1893,1886,2222,1891,1803,1578,948,738,877,386,126,2.81,B,1.01
PHYS,213,1769,1696,1252,1286,1402,1439,1253,1227,1028,573,432,473,307,38,2.79,B,0.98
PHYS,214,1608,1735,1345,1406,1533,1396,1327,1253,930,642,404,421,204,123,2.82,B,0.96
PHYS,325,59,33,19,17,23,10,1,7,3,0,4,3,1,0,3.43,A,0.79
PHYS,435,11,19,14,15,7,9,3,2,0,0,0,0,0,0,3.47,A-,0.56
PHYS,436,8,14,13,3,3,4,0,0,0,0,0,0,0,0,3.68,A-,0.42
PHYS,580,12,7,10,3,2,2,2,3,4,2,0,2,0,0,3.17,A-,1.01
PLPA,407,3,25,13,8,9,8,0,4,2,0,1,0,0,0,3.38,A-,0.71
PS,100,154,371,332,209,149,87,48,50,31,10,15,13,68,5,3.25,A-,0.72
PS,101,35,240,101,95,90,56,38,45,13,9,14,6,30,5,3.16,B+,0.79
PS,199,11,27,11,9,14,7,3,1,1,0,1,0,3,0,3.35,A-,0.63
PS,201,231,170,125,64,68,35,24,30,30,12,4,5,45,4,3.28,A-,0.77
PS,220,0,4,3,0,7,6,1,1,0,0,0,0,1,0,2.97,B,0.58
PS,225,3,10,8,10,9,12,3,1,3,2,0,0,5,0,2.88,B,0.73
PS,230,12,16,6,2,7,3,1,2,0,2,1,0,3,0,3.27,A,0.79
PS,240,12,26,7,9,11,3,4,6,4,2,1,1,5,0,3.09,B+,0.87
PS,241,33,130,90,83,63,33,20,19,16,7,11,5,38,3,3.05,B+,0.8
PS,280,47,320,247,252,257,155,108,93,66,21,27,18,72,11,2.98,B+,0.79
PS,283,2,3,4,5,3,2,2,1,0,0,0,0,1,0,3.14,B+,0.59
PS,300,48,325,209,127,119,68,38,34,8,1,9,2,26,7,3.36,A-,0.64
PS,499,20,39,12,5,10,2,0,2,0,0,1,0,3,0,3.59,A,0.54
PSYC,100,1908,6485,3166,3658,6129,2266,1616,3130,716,504,641,217,946,132,3.01,B,0.81
PSYC,201,2120,1977,1324,1169,1357,882,492,566,336,151,187,100,271,48,3.19,B+,0.82
PSYC,204,47,100,66,23,30,14,8,8,7,5,6,0,9,0,3.38,A-,0.73
PSYC,216,33,472,27,15,317,4,1,173,1,2,58,0,28,16,3.13,B,0.89
PSYC,230,95,17,16,15,7,6,5,7,3,0,0,0,3,0,3.59,A+,0.61
PSYC,235,12,43,18,18,17,12,2,7,8,0,2,3,10,0,3.06,B+,0.84
PSYC,238,263,2202,1653,1420,1384,792,522,381,172,103,100,51,229,35,3.18,B+,0.72
PSYC,245,4,106,5,1,4,2,0,0,0,0,0,0,1,0,3.89,A,0.26
PSYC,336,4,148,56,49,68,14,10,17,2,1,1,0,3,0,3.43,A-,0.61
PSYC,340,25,5,2,4,8,0,1,2,1,0,0,0,1,0,3.52,A+,0.62
PSYC,353,9,11,4,4,6,1,2,0,0,0,0,0,0,0,3.6,A,0.51
PSYC,396,104,167,85,53,58,30,25,6,4,4,1,0,5,3,3.52,A,0.6
PSYC,406,1,138,9,4,15,2,0,5,0,0,1,0,0,1,3.79,A,0.49
PSYC,407,0,20,8,0,1,0,0,0,0,0,0,0,0,0,3.87,A,0.22
PSYC,456,1,22,8,2,11,2,3,6,3,0,1,1,0,1,3.2,A-,0.88
PSYC,496,29,146,36,10,23,9,2,8,1,0,1,0,4,1,3.65,A,0.54
REHB,330,112,432,5,3,95,4,4,20,0,1,12,1,37,2,3.53,A,0.63
REL,104,27,139,151,118,105,45,24,38,17,8,9,4,34,3,3.1,B+,0.73
REL,110,1786,1166,538,333,321,152,79,78,31,21,26,26,71,12,3.61,A,0.6
RHET,105,249,2402,1637,1017,766,264,124,91,73,22,25,10,130,20,3.47,A-,0.55
RHET,233,98,391,210,125,102,48,10,12,4,2,2,2,36,6,3.49,A-,0.52
RLST,104,27,930,144,141,588,95,42,179,20,14,50,11,54,9,3.23,B+,0.78
RLST,110,294,1444,1120,1050,1200,640,377,320,135,64,62,29,82,20,3.19,B+,0.7
RLST,286,0,45,0,0,18,0,0,1,0,0,2,0,0,0,3.61,A,0.67
RST,100,52,47,46,14,13,12,11,11,9,6,1,4,11,1,3.19,A-,0.86
RST,110,115,471,247,177,290,146,98,113,56,20,38,20,98,10,3.03,B+,0.82
RST,130,0,47,22,14,13,5,1,7,2,1,4,0,16,0,2.98,A-,0.83
RST,199,567,1044,429,229,343,135,101,104,45,20,37,16,99,7,3.4,A,0.71
RST,200,24,1094,0,83,521,0,7,155,0,0,30,1,43,7,3.41,A,0.71
RST,216,8,25,29,7,4,4,4,2,0,0,1,0,1,0,3.51,A-,0.59
RST,242,127,11008,3,41,1623,0,18,621,0,11,228,0,595,35,3.58,A,0.63
RST,255,70,915,46,40,690,27,9,202,5,1,44,2,69,10,3.24,B+,0.75
RST,393,3,10,6,12,12,6,2,1,1,0,1,0,0,0,3.25,B+,0.64
RST,465,0,20,11,2,5,5,0,2,0,0,2,0,1,0,3.36,A-,0.75
RST,594,6,11,2,1,2,2,0,0,0,0,0,0,0,0,3.75,A,0.44
SCAN,251,160,577,167,92,84,54,31,24,11,8,5,3,21,5,3.57,A,0.61
SE,101,34,206,163,129,123,53,33,36,29,11,6,3,13,0,3.24,B+,0.72
SE,494,24,114,35,13,17,0,0,0,0,0,0,0,0,0,3.82,A,0.31
SHS,120,3,9026,8,10,3038,8,4,780,2,1,218,1,230,33,3.53,A,0.68
SHS,121,144,441,326,184,204,103,73,67,43,24,18,7,40,4,3.27,A-,0.75
SHS,170,23,28,22,9,2,8,0,1,0,1,1,0,1,0,3.61,A,0.57
SHS,200,68,39,34,19,13,10,3,0,4,1,0,0,1,0,3.63,A,0.54
SHS,221,81,184,112,55,89,52,21,45,21,6,10,5,13,2,3.25,A-,0.8
SHS,222,609,688,197,104,97,36,21,10,5,6,3,3,10,1,3.76,A,0.46
SHS,271,60,61,73,22,23,4,0,2,1,4,0,2,0,0,3.64,A-,0.56
SHS,320,17,44,19,7,14,7,1,6,0,1,3,0,0,0,3.5,A,0.73
SHS,321,70,152,94,91,96,70,40,32,17,11,9,11,20,2,3.12,B+,0.81
SHS,375,247,551,19,7,50,10,4,11,0,0,5,0,17,1,3.8,A,0.42
SHS,431,0,12,9,5,15,2,0,1,0,0,1,0,0,0,3.36,B+,0.6
SHS,451,78,32,32,10,7,0,2,2,0,0,0,0,2,0,3.76,A,0.37
SHS,470,4,2,6,5,5,4,2,0,1,0,1,0,0,0,3.19,B+,0.71
SHS,577,10,60,12,4,4,0,0,2,0,0,0,0,0,0,3.84,A,0.37
SLAV,120,2,22,9,13,17,3,0,1,0,0,1,0,0,0,3.45,B+,0.56
SOC,100,933,4420,2453,1568,1519,839,429,443,213,82,127,51,201,46,3.38,A-,0.69
SOC,160,44,60,20,26,19,11,6,9,1,0,0,0,4,1,3.48,A,0.6
SOC,196,0,34,6,6,4,4,1,1,0,1,2,2,3,1,3.28,A,0.89
SOC,200,10,5,3,0,0,0,1,2,0,0,1,0,1,0,3.41,A,0.84
SOC,225,5,14,2,0,2,0,0,1,0,0,0,0,1,0,3.65,A,0.49
SOC,270,2,7,4,4,5,1,0,1,0,0,0,0,1,0,3.35,A-,0.53
SOC,275,18,170,47,47,46,8,14,5,3,6,5,4,17,0,3.34,A-,0.73
SOC,280,45,56,31,36,25,27,22,14,8,12,7,4,19,1,2.95,B+,0.9
SOC,310,4,14,13,3,14,14,3,5,3,0,3,0,6,2,2.85,B,0.8
SOC,380,46,306,121,82,76,44,30,26,10,7,14,8,15,4,3.36,A-,0.77
SOC,396,33,17,6,8,4,10,0,2,4,0,1,1,0,0,3.49,A,0.78
SOCW,101,45,39,9,4,4,2,1,2,2,1,0,0,6,1,3.57,A,0.57
SOCW,200,118,349,496,374,357,239,117,90,51,25,29,6,77,9,3.11,B+,0.7
SOCW,240,12,57,34,26,13,8,16,5,7,5,2,2,3,1,3.25,A-,0.82
SOCW,300,172,799,220,179,162,75,34,50,15,4,15,3,29,9,3.53,A,0.62
SOCW,321,12,72,17,6,2,2,1,0,0,0,0,0,0,0,3.86,A,0.31
SOCW,360,19,18,12,1,3,3,0,2,0,0,0,1,0,0,3.68,A,0.63
SOCW,380,0,46,4,4,1,1,0,1,0,0,0,0,1,0,3.79,A,0.37
SOCW,400,7,121,36,9,12,1,0,0,0,0,0,0,0,0,3.83,A,0.3
SOCW,401,53,263,82,39,21,16,3,1,2,0,4,0,6,2,3.71,A,0.47
SOCW,402,22,90,19,13,25,4,2,5,1,1,1,0,2,2,3.6,A,0.58
SOCW,403,27,188,49,37,56,7,7,2,0,0,0,0,2,0,3.65,A,0.46
SOCW,410,203,385,171,75,55,24,15,11,9,0,4,1,4,3,3.69,A,0.51
SOCW,427,176,407,192,72,82,24,9,11,7,1,4,0,9,5,3.67,A,0.49
SOCW,451,279,338,97,63,56,27,4,13,6,3,6,0,12,2,3.68,A,0.53
SOCW,461,0,111,10,9,8,1,1,1,0,0,0,0,0,0,3.84,A,0.36
SOCW,470,0,33,8,3,1,0,0,0,0,0,0,0,0,0,3.87,A,0.24
SOCW,471,0,18,0,0,6,0,0,0,0,0,0,0,0,0,3.75,A,0.43
SOCW,500,81,164,89,51,65,7,1,5,0,0,0,0,4,1,3.65,A,0.43
SOCW,502,18,1,0,1,1,0,0,0,1,0,0,0,0,0,3.82,A+,0.53
SOCW,503,12,32,4,1,0,0,0,0,0,0,0,0,1,0,3.88,A,0.15
SOCW,505,89,99,14,9,8,2,2,2,0,0,0,0,4,0,3.81,A,0.35
SOCW,506,0,19,0,1,1,0,0,0,0,0,0,0,0,0,3.92,A,0.25
SOCW,509,70,128,54,23,19,4,2,0,1,0,2,0,0,0,3.77,A,0.43
SOCW,514,6,55,11,2,2,0,0,0,0,0,0,0,0,0,3.91,A,0.21
SOCW,519,7,26,10,2,1,0,0,0,0,1,0,0,0,0,3.82,A,0.43
SOCW,526,0,36,5,5,0,1,0,1,0,1,0,1,0,0,3.71,A,0.67
SOCW,531,9,158,19,7,6,1,0,0,0,0,0,0,0,0,3.91,A,0.24
SOCW,532,0,107,2,0,6,1,0,0,0,0,0,0,0,0,3.93,A,0.25
SOCW,541,0,29,40,29,38,14,1,1,0,0,1,0,0,1,3.37,B+,0.48
SOCW,542,49,158,33,21,13,2,2,2,0,0,2,0,3,0,3.77,A,0.42
SOCW,552,126,416,125,71,98,25,2,3,0,0,2,0,2,2,3.72,A,0.43
SOCW,553,19,22,3,2,1,0,0,0,0,0,0,0,0,0,3.93,A,0.21
SOCW,589,59,734,382,198,174,20,8,7,4,0,3,0,2,1,3.68,A-,0.42
SPAN,103,2,39,52,40,53,34,38,27,12,11,11,11,17,1,2.69,B,0.88
SPAN,122,20,102,118,105,143,101,82,90,46,36,25,16,45,5,2.69,B,0.86
SPAN,130,29,26,8,14,18,8,5,13,4,6,3,4,8,0,2.94,B+,0.97
SPAN,141,25,135,108,113,93,81,49,35,33,23,22,23,33,2,2.87,B,0.91
SPAN,142,0,18,10,12,12,8,2,10,2,8,2,0,0,0,2.94,B,0.91
SPAN,200,77,296,216,168,157,66,47,32,11,9,14,6,12,0,3.34,A-,0.69
SPAN,204,99,160,157,68,96,41,32,31,6,2,3,6,8,2,3.37,A-,0.68
SPAN,228,2,8,6,8,2,0,2,2,2,0,0,0,0,0,3.33,A-,0.72
SPAN,252,65,43,27,24,8,7,9,3,0,1,2,0,3,0,3.56,A,0.6
SPAN,254,6,17,31,28,18,4,2,2,0,2,0,0,0,0,3.41,B+,0.53
SPAN,303,8,5,3,3,2,0,2,0,1,0,0,0,0,0,3.56,A,0.64
SPAN,305,20,17,8,5,8,1,2,3,0,0,0,1,1,1,3.52,A,0.67
SPAN,307,18,28,14,4,0,1,0,0,0,1,0,0,0,0,3.83,A,0.39
SPAN,308,96,95,34,22,20,13,4,2,0,0,3,1,4,0,3.65,A,0.55
SPAN,309,3,10,12,10,4,6,1,2,0,0,0,0,0,0,3.41,A-,0.55
SPAN,312,11,14,5,5,6,4,2,0,0,0,0,0,0,0,3.58,A,0.53
SPAN,320,10,11,9,4,3,2,2,1,1,1,1,1,1,0,3.32,A-,0.86
SPAN,326,1,30,18,12,4,3,0,2,1,0,0,0,0,0,3.6,A-,0.51
SPED,117,130,6000,87,37,763,16,11,154,2,1,55,0,134,10,3.75,A,0.49
SPED,205,128,227,23,31,39,9,2,10,0,0,0,0,0,0,3.78,A,0.45
SPED,405,321,1010,116,78,172,32,14,41,5,1,9,1,10,2,3.73,A,0.52
STAT,100,5334,9390,4668,3577,3516,1939,1331,1430,703,462,422,231,568,132,3.34,A-,0.77
STAT,200,742,1716,729,512,469,255,151,141,86,39,40,27,64,23,3.46,A-,0.7
STAT,207,22,30,17,4,7,4,1,3,0,3,1,2,2,0,3.44,A,0.81
STAT,212,501,642,266,240,193,76,49,56,18,9,20,14,35,4,3.5,A,0.66
STAT,385,237,321,56,37,43,13,19,10,6,1,3,5,6,1,3.71,A,0.58
STAT,400,1360,2933,1416,1221,1358,831,515,567,370,146,222,129,333,51,3.17,A-,0.83
STAT,410,499,915,389,342,362,317,114,205,167,34,127,26,180,36,3.07,B+,0.88
STAT,420,921,1920,633,345,420,180,107,118,37,15,33,6,57,19,3.59,A,0.61
STAT,425,419,658,282,249,238,115,69,71,36,28,17,9,53,5,3.39,A-,0.71
STAT,426,30,61,34,19,18,20,7,7,7,0,3,3,3,0,3.33,A-,0.79
STAT,428,10,77,42,22,33,14,10,14,2,4,2,2,5,0,3.27,A-,0.76
STAT,429,4,18,6,3,0,0,2,0,0,0,0,0,1,0,3.67,A,0.43
STAT,430,279,559,196,121,114,39,24,43,16,17,15,8,28,6,3.52,A,0.69
STAT,432,36,211,31,19,16,12,8,5,5,0,2,1,4,1,3.67,A,0.59
STAT,440,122,811,203,111,127,26,12,32,6,4,11,0,21,2,3.64,A,0.54
STAT,448,143,434,212,123,75,36,21,14,10,6,7,3,14,4,3.58,A,0.58
STAT,480,32,115,23,9,14,14,4,8,0,0,1,1,1,0,3.64,A,0.61
TAM,210,115,314,274,319,291,254,199,184,148,79,146,51,142,12,2.66,B,0.94
TAM,211,133,359,304,317,335,344,272,217,219,146,145,100,188,19,2.57,B-,0.96
TAM,212,120,339,344,399,433,311,256,208,129,74,50,33,66,13,2.88,B,0.81
TAM,251,315,624,422,391,534,320,250,326,158,134,152,78,118,19,2.86,B,0.94
TAM,335,71,114,143,96,97,84,46,38,27,14,8,10,18,4,3.08,B+,0.8
TE,200,0,98,10,3,7,2,0,2,1,1,1,0,1,0,3.75,A,0.54
TE,298,13,48,15,8,3,0,1,1,1,0,0,0,1,0,3.74,A,0.43
TE,360,121,129,20,4,18,2,0,6,3,0,1,0,0,0,3.83,A,0.47
TE,460,23,19,8,2,5,3,2,0,1,0,0,0,0,0,3.7,A,0.53
THEA,100,58,650,34,12,58,13,1,17,2,3,9,1,22,9,3.7,A,0.54
THEA,101,10210,4070,2328,1210,890,683,337,291,229,143,128,108,521,95,3.61,A,0.61
THEA,110,115,45,17,6,8,4,4,3,3,2,3,1,4,2,3.65,A+,0.66
TSM,199,6,8,0,3,1,0,1,2,0,0,0,0,0,1,3.59,A,0.67
TSM,435,26,8,3,6,1,1,1,0,0,0,0,0,0,0,3.8,A+,0.38
UP,480,23,74,59,46,42,24,8,5,2,0,1,0,4,2,3.41,A-,0.56
UP,494,1,19,5,14,14,0,11,1,3,0,0,2,1,0,3.11,B+,0.79
