Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
CS,398,32,74,25,24,112,14,14,50,3,0,20,0,13,1
CS,410,758,259,100,34,17,8,0,7,0,0,2,0,12,5
CS,411,384,1108,436,238,150,114,56,44,31,9,15,10,23,6
CS,412,290,447,288,216,221,147,79,63,39,6,32,2,57,8
CS,416,556,234,30,45,30,5,9,2,0,3,2,0,11,14
CS,418,55,67,41,40,23,11,5,7,7,1,13,0,6,1
CS,421,863,1415,221,215,263,84,99,129,27,54,82,9,69,11
CS,423,23,28,10,4,2,1,0,0,0,0,1,0,0,0
CS,425,141,322,659,489,266,173,36,33,8,5,10,6,40,10
CS,427,112,129,54,29,12,10,0,11,0,0,7,0,3,4
CS,428,5,17,12,5,5,4,1,0,0,0,0,0,1,0
CS,433,1,17,30,30,27,8,6,2,2,2,1,0,0,2
CS,435,16,187,36,19,15,8,0,9,1,2,2,2,17,8
CS,437,188,159,28,11,12,15,8,8,7,3,4,1,15,9
CS,440,75,260,62,63,198,27,25,54,7,6,20,7,19,3
CS,441,42,1225,146,55,36,23,18,12,12,7,2,7,37,15
CS,445,120,135,77,23,20,14,9,3,8,2,4,4,16,5
CS,446,37,162,116,91,60,36,7,11,1,2,6,0,5,2
CS,447,93,132,90,32,19,6,4,1,0,0,2,0,16,4
CS,450,8,3,2,3,2,0,1,1,0,0,0,0,2,1
CS,460,1,40,5,9,1,2,0,4,0,0,0,0,3,1
CS,461,4,46,15,22,108,2,10,47,1,0,6,0,0,2
CS,465,10,90,48,31,31,5,4,3,0,0,1,0,1,1
CS,473,6,19,9,15,17,12,14,15,7,4,2,0,0,0
CS,484,23,152,22,8,55,4,4,23,1,0,4,2,8,6
CS,498,2238,5232,1492,972,892,449,242,276,133,80,87,26,183,37
CS,519,84,262,87,41,42,5,3,5,0,0,1,0,4,1
CS,525,7,18,21,25,4,2,0,0,0,0,0,0,0,0
CS,598,799,2241,559,277,212,67,21,37,5,7,4,2,21,17
CW,100,45,210,60,41,32,14,7,5,6,2,1,1,9,1
CWL,114,20,17,7,5,6,2,1,6,0,0,1,2,2,1
CWL,207,6,134,3,0,4,2,0,2,0,0,0,1,3,1
CWL,241,24,108,40,14,14,6,2,8,4,0,1,1,7,1
CWL,242,27,32,11,10,7,4,4,1,2,1,4,1,8,1
DANC,100,1082,1827,368,176,121,72,42,38,21,15,16,15,54,11
DANC,101,5,9,5,5,2,0,0,0,0,0,0,0,0,1
DANC,105,44,49,8,6,4,0,1,0,0,0,0,1,1,0
DANC,106,7,22,4,0,2,0,0,0,0,1,0,0,1,0
DANC,112,19,50,29,4,6,2,0,1,0,0,1,0,0,0
DANC,201,5,8,6,2,2,0,0,0,0,0,0,0,1,0
EALC,230,23,41,5,2,1,2,0,1,0,0,0,0,0,0
EALC,250,15,31,35,36,31,26,9,10,8,3,1,4,18,2
EALC,275,38,97,83,41,41,11,11,9,5,2,6,0,4,0
ECE,110,1018,1921,1120,856,904,512,361,422,203,103,102,34,253,26
ECE,120,264,831,593,434,465,261,184,188,87,65,62,40,124,9
ECE,190,35,165,99,84,94,111,84,76,61,50,30,24,49,13
ECE,198,33,114,99,110,124,116,87,73,58,20,36,13,20,3
ECE,199,97,22,4,3,4,1,3,0,2,0,0,0,3,1
ECE,205,176,244,147,133,187,109,96,138,35,5,28,2,22,3
ECE,206,231,1237,327,195,152,46,6,20,11,5,7,1,22,3
ECE,210,324,586,413,639,903,639,503,721,469,137,249,84,185,44
ECE,220,154,457,309,260,320,223,168,158,102,35,66,43,75,8
ECE,290,24,146,96,97,158,92,93,86,51,22,21,1,20,4
ECE,310,153,402,243,288,442,235,150,180,100,47,41,16,59,7
ECE,311,263,803,263,119,137,64,28,63,19,10,16,7,54,6
ECE,313,218,481,343,485,898,480,454,561,279,141,168,30,128,21
ECE,314,45,117,31,18,16,7,3,0,3,0,0,0,11,0
ECE,316,85,592,241,124,100,33,20,19,6,1,0,2,0,6
ECE,329,244,426,292,289,391,241,249,246,177,58,100,18,137,15
ECE,330,64,254,98,90,350,106,76,206,48,27,92,40,25,2
ECE,333,18,95,29,29,100,32,11,36,7,1,13,1,1,1
ECE,340,178,354,177,240,439,177,187,338,164,32,164,35,150,13
ECE,342,74,213,131,180,160,101,74,78,41,11,22,8,26,3
ECE,343,16,385,147,71,36,10,4,4,2,0,0,3,11,2
ECE,350,12,8,22,4,10,6,10,2,4,0,0,0,0,0
ECE,365,18,64,21,10,9,8,2,3,3,0,1,0,3,0
ECE,385,33,119,43,53,37,7,10,9,5,5,4,2,7,3
ECE,391,16,99,47,84,74,38,23,28,17,4,9,11,25,1
ECE,398,2,10,5,4,1,2,0,1,0,1,0,0,0,0
ECE,408,20,216,123,123,212,95,63,92,26,10,18,15,15,3
ECE,410,3,21,10,5,23,6,7,13,5,6,7,7,5,0
ECE,411,24,86,104,68,52,40,27,17,17,17,7,7,4,1
ECE,430,5,21,9,7,52,13,13,30,10,2,11,2,1,1
ECE,440,41,50,41,39,59,39,37,57,36,1,22,3,22,2
ECE,444,66,182,72,38,116,36,9,51,8,0,8,1,2,1
ECE,445,2,7,21,20,25,11,12,6,0,0,1,0,1,0
ECE,450,16,25,5,14,22,16,4,2,3,0,1,0,1,0
ECE,470,9,22,21,20,12,3,7,1,3,4,2,0,0,0
ECE,486,5,21,8,7,9,4,0,3,1,2,0,1,1,0
ECE,498,19,48,43,23,27,25,14,12,7,5,7,2,2,0
ECE,544,5,22,21,7,8,2,0,0,0,0,0,0,0,1
ECE,549,77,593,52,37,119,3,5,26,1,0,5,1,6,9
ECE,598,5,25,10,7,4,0,0,0,0,0,0,0,0,1
ECON,102,6709,11178,3630,2947,4650,1444,1190,1732,512,381,529,159,647,113
ECON,103,1494,4455,3154,2974,3481,1805,1392,1670,738,376,589,213,647,123
ECON,199,20,0,0,0,0,0,0,1,0,0,0,0,0,0
ECON,202,369,2828,561,718,2820,375,490,1368,197,225,473,120,274,66
ECON,203,1540,1610,1386,1413,1801,1288,1058,1252,677,511,500,322,759,129
ECON,302,1965,2759,2075,1868,2074,1630,1163,1179,944,564,552,404,932,93
ECON,303,252,661,667,801,845,559,411,311,182,93,76,49,87,27
ECON,411,14,53,36,36,43,18,35,37,9,4,2,1,5,2
ECON,414,6,31,5,6,27,1,2,20,0,0,0,0,1,0
ECON,418,4,4,5,3,4,2,5,4,3,4,0,0,0,0
ECON,420,12,9,8,6,8,6,3,2,1,1,1,1,2,0
ECON,426,15,23,22,26,23,25,10,10,3,0,1,0,3,0
ECON,437,127,91,37,32,24,11,7,8,2,8,0,0,5,0
ECON,440,9,122,53,59,40,28,27,26,3,0,0,1,6,0
ECON,450,8,30,14,15,15,13,7,11,7,4,4,3,7,0
ECON,452,22,34,45,30,16,11,3,2,2,1,0,0,1,1
ECON,469,20,7,5,5,9,5,2,0,1,0,0,0,0,0
ECON,471,62,212,132,165,153,113,103,116,81,46,77,14,30,9
ECON,474,5,8,0,1,4,1,0,3,0,0,0,0,2,0
ECON,475,22,131,21,20,58,13,8,27,0,2,6,3,3,0
ECON,480,41,78,59,43,54,44,18,14,14,4,16,11,8,2
ECON,481,20,22,3,12,4,5,8,3,2,0,0,1,4,3
ECON,483,24,48,42,47,34,14,5,0,1,0,0,0,1,0
ECON,484,26,27,1,0,13,0,0,9,0,0,0,0,0,0
ECON,490,701,1084,627,667,698,370,203,183,117,42,78,31,76,28
ECON,491,9,24,4,3,2,1,0,0,0,0,0,0,0,1
ECON,500,61,216,189,172,144,94,21,16,5,0,0,0,0,2
ECON,502,10,63,85,96,83,30,15,4,0,0,0,0,0,1
ECON,503,60,157,102,88,76,23,7,8,0,0,0,0,0,1
ECON,506,31,111,82,75,79,38,5,1,0,0,0,0,0,1
ECON,508,35,115,68,48,61,6,1,0,0,0,0,0,0,0
ECON,528,642,4081,1184,846,573,237,152,89,52,17,16,9,147,29
ECON,529,1750,2260,745,435,411,169,93,46,21,14,10,2,80,31
ECON,567,15,34,12,5,4,1,0,1,0,0,1,0,0,0
ECON,568,38,109,45,19,16,0,9,0,1,0,0,0,0,0
ECON,590,26,97,69,52,35,13,2,3,2,1,0,0,1,2
EDUC,101,538,1141,28,11,51,9,5,23,3,2,10,2,21,4
EDUC,201,167,728,143,80,57,23,16,16,8,2,3,5,27,3
EDUC,202,266,622,220,117,88,26,21,9,5,3,5,3,10,2
ENG,100,0,1160,0,0,78,0,0,14,0,0,7,0,7,2
ENG,101,0,1162,28,21,152,15,7,51,2,2,26,1,49,3
ENG,111,45,85,14,2,1,0,0,5,0,0,4,0,0,1
ENG,177,72,281,55,24,19,1,4,3,0,1,3,2,6,0
ENG,198,302,1318,374,193,154,27,14,34,5,2,11,1,17,7
ENG,199,190,556,34,18,78,12,2,14,3,1,4,2,14,4
ENG,298,23,56,35,18,9,12,2,1,1,1,0,1,16,1
ENG,300,35,65,1,2,2,0,1,1,0,0,0,0,0,0
ENG,315,14,58,27,19,10,6,3,0,1,2,0,0,1,1
ENG,333,18,73,25,14,16,7,4,1,3,1,0,1,3,0
ENG,398,3,176,6,2,30,0,1,2,0,0,0,0,1,0
ENG,491,1,8,11,3,1,0,0,0,0,0,0,0,0,0
ENGL,101,6,104,74,48,64,15,17,10,2,2,4,1,6,4
ENGL,102,0,6,22,11,13,12,8,5,1,0,0,0,3,4
ENGL,103,3,25,18,25,9,11,4,3,2,0,2,0,5,1
ENGL,104,201,1004,675,579,514,270,151,118,69,30,30,31,113,17
ENGL,109,89,616,428,266,187,98,41,25,20,4,4,4,43,9
ENGL,115,10,38,23,5,10,0,1,0,0,0,0,0,2,1
ENGL,116,10,222,139,89,62,35,5,7,5,2,1,0,3,2
ENGL,119,8,36,12,10,8,6,2,2,0,0,0,0,2,0
ENGL,120,4,11,4,3,0,0,0,0,0,0,0,0,0,0
ENGL,200,59,519,428,236,152,72,37,32,10,4,2,3,31,6
ENGL,218,20,124,90,35,25,16,3,1,2,0,0,0,7,1
ENGL,245,4,37,36,20,13,5,0,1,1,0,0,0,1,0
ENGL,247,0,11,19,10,9,2,2,3,0,0,0,0,3,0
ENGL,250,0,8,17,9,7,3,1,0,0,0,0,0,0,0
ENGL,251,1,12,22,31,16,4,3,1,0,0,0,0,2,1
ENGL,273,3,17,20,21,15,3,3,3,1,0,0,0,0,1
ENGL,280,0,17,4,2,10,2,3,4,1,1,1,0,0,2
ENGL,300,15,114,133,96,60,32,21,7,8,1,4,0,14,4
ENGL,301,15,453,405,197,93,35,22,11,12,5,4,2,24,11
ENGL,350,11,64,25,17,9,1,2,1,0,0,2,0,5,0
ENGL,373,13,24,27,23,9,12,9,12,1,0,1,0,1,0
ENGL,418,3,84,80,89,113,26,12,33,5,0,0,1,4,0
ENGL,419,0,18,8,15,23,6,4,9,1,0,0,0,3,0
ENGL,455,2,76,110,89,34,24,10,3,2,1,1,0,8,3
ENGL,460,4,4,4,1,5,2,2,0,1,1,2,0,5,1
ENGL,461,0,11,5,3,5,2,2,0,2,0,0,0,0,0
ENVS,301,13,17,3,2,4,0,0,1,0,0,2,0,2,1
EOL,440,1,265,48,14,8,0,0,0,0,0,1,0,0,2
EOL,547,6,20,9,4,3,1,0,1,0,0,0,0,0,0
EOL,568,7,53,6,2,3,0,0,3,0,0,1,0,2,0
EPOL,202,1,32,2,2,3,2,1,0,0,0,1,0,3,0
EPOL,310,0,22,0,0,6,0,0,0,0,0,0,0,0,1
EPOL,472,0,63,4,0,1,1,0,0,0,0,1,0,7,1
EPOL,483,88,77,5,6,1,3,0,2,1,0,2,0,7,0
EPOL,515,0,17,2,0,1,0,0,0,0,0,0,0,2,0
EPOL,517,0,105,4,2,1,0,0,0,0,0,0,0,2,2
EPOL,550,0,74,2,1,1,0,0,1,1,0,0,0,0,0
EPS,201,136,158,86,41,24,3,3,0,0,0,0,1,1,3
EPS,202,88,259,104,51,23,8,2,0,3,1,0,1,3,0
EPS,310,45,169,27,24,18,12,1,8,4,0,1,1,7,0
EPS,410,0,28,29,8,2,0,0,0,0,0,0,0,0,0
EPS,529,12,112,38,8,7,0,0,1,0,0,0,0,0,1
EPS,530,0,26,7,0,1,0,0,0,0,0,0,0,0,0
EPS,536,2,119,3,0,2,3,1,1,0,0,1,0,1,0
EPS,590,16,66,12,4,2,2,0,0,0,0,0,0,0,0
EPSY,203,27,58,6,6,4,12,2,2,4,1,0,3,2,0
EPSY,220,351,1096,145,74,113,14,12,43,10,10,15,0,77,6
EPSY,408,72,3,0,1,3,0,0,0,0,0,0,0,0,0
EPSY,430,39,271,44,31,14,6,2,2,1,0,0,0,0,0
EPSY,456,50,23,11,10,6,7,0,0,1,1,1,1,0,0
EPSY,480,3,87,14,5,15,6,4,4,2,0,4,0,8,0
EPSY,485,26,56,7,4,3,2,0,0,0,0,0,0,1,0
EPSY,590,26,8,0,1,1,0,0,0,0,0,0,0,0,0
ESE,200,46,69,91,79,78,36,20,19,10,7,7,4,14,5
ESE,320,7,17,18,20,13,1,3,5,1,0,2,2,0,0
ESE,482,6,14,7,7,1,2,1,1,4,2,0,0,3,1
ESE,497,3,7,9,2,0,0,0,0,0,0,0,0,0,0
ESL,115,4,24,6,0,6,0,0,1,0,0,0,0,1,0
FAA,220,55,20,3,2,0,0,1,0,1,0,1,0,0,0
FIN,221,337,5725,1548,1230,3192,798,555,1389,255,185,512,0,260,69
FIN,230,0,31,28,10,5,7,5,4,2,0,1,0,1,0
FIN,232,1,15,7,5,15,2,1,2,1,0,0,0,0,0
FIN,241,43,433,178,156,282,57,30,8,2,2,0,3,0,4
FIN,300,154,366,337,448,693,489,423,457,249,172,109,30,214,59
FIN,311,3,10,17,16,3,4,6,2,0,0,1,0,1,0
FIN,321,166,954,606,616,616,351,129,124,48,10,13,0,4,2
FIN,411,121,349,297,175,176,103,50,35,13,0,7,1,3,1
FIN,412,23,60,36,39,36,19,13,19,8,3,8,2,3,1
FIN,418,17,51,20,7,6,2,0,2,0,0,0,0,0,0
FIN,423,71,833,447,215,77,19,6,2,0,0,1,0,0,3
FIN,434,1,16,30,37,19,10,4,1,0,0,0,0,0,0
FIN,435,21,327,191,144,100,16,9,1,3,0,0,1,0,0
FIN,445,57,169,58,36,20,7,2,2,1,0,0,0,0,0
FIN,446,35,44,24,16,12,8,3,1,0,0,2,0,0,0
FIN,463,1,61,42,29,22,7,1,2,0,0,0,0,1,0
FIN,464,19,20,12,4,2,1,0,0,0,0,0,0,0,0
FIN,490,20,114,17,33,45,10,1,1,0,0,0,0,0,0
FIN,500,254,826,335,201,197,48,26,22,6,7,3,2,34,0
FIN,501,24,450,400,470,323,40,3,3,1,0,0,0,0,1
FIN,502,47,296,126,103,99,20,3,5,0,0,0,0,0,0
FIN,503,8,46,0,0,10,0,1,7,0,0,0,0,0,0
FIN,510,4,94,25,16,16,2,0,0,0,0,0,0,1,1
FIN,511,178,2427,1203,883,997,289,40,18,5,1,0,1,56,17
FIN,512,136,465,227,200,242,68,25,12,5,2,0,0,1,3
FIN,513,5,4,9,6,6,5,7,1,1,0,1,0,0,0
FIN,515,7,36,29,28,23,22,1,0,0,0,1,0,0,0
FIN,520,0,46,0,0,6,0,0,0,0,0,0,0,0,0
FIN,521,85,448,190,151,277,79,17,3,1,0,0,0,0,2
FIN,522,2,53,23,17,13,3,0,0,0,0,0,0,0,0
FIN,524,6,72,45,72,33,9,0,0,0,0,0,0,0,0
FIN,527,6,49,0,7,10,0,0,2,0,0,0,0,0,0
FIN,550,5,30,17,7,4,3,1,0,0,0,0,0,0,0
FIN,553,45,49,19,7,26,8,0,0,0,0,0,0,0,0
FIN,567,8,165,150,93,47,9,0,2,0,0,0,0,0,0
FIN,571,24,415,334,264,229,89,59,28,13,2,4,1,12,5
FIN,580,811,3766,1441,1150,1037,308,102,124,19,1,10,2,17,20
FR,101,35,156,126,58,124,44,27,38,13,9,11,6,14,4
FR,102,38,122,78,43,85,38,15,32,11,3,9,3,7,3
FR,103,9,78,72,37,62,38,10,25,9,3,4,4,4,1
FR,104,5,16,16,19,31,8,4,12,0,0,3,1,4,0
FR,134,3,9,4,2,4,0,0,0,0,0,0,0,0,0
FSHN,101,164,733,95,135,218,101,59,79,28,16,14,13,27,6
FSHN,120,152,4123,0,0,1551,0,0,464,0,0,130,0,102,14
FSHN,199,136,116,1,0,23,1,0,5,0,1,2,0,3,0
FSHN,304,56,34,3,5,11,2,1,3,1,0,0,0,2,1
FSHN,312,7,13,13,5,2,3,1,0,0,0,0,0,0,0
FSHN,398,3,16,0,0,8,0,0,3,0,0,0,0,0,0
FSHN,414,0,34,0,6,4,0,4,0,0,0,0,0,0,0
FSHN,420,48,32,0,6,10,0,4,6,0,0,2,0,0,0
FSHN,460,3,73,8,9,10,0,2,5,0,0,0,0,0,0
FSHN,471,1,21,0,0,3,0,0,0,0,0,0,0,0,0
FSHN,482,10,26,4,4,1,0,0,0,0,0,0,0,0,0
FSHN,595,28,87,10,7,5,1,1,1,0,0,0,0,0,0
GCL,200,2,26,3,5,6,2,1,2,0,1,1,0,0,0
GE,312,15,33,12,18,22,4,13,10,0,0,0,0,3,1
GE,331,0,1,1,0,3,5,1,5,2,0,4,0,3,1
GEOG,101,150,509,738,482,372,215,115,88,40,21,17,13,51,7
GEOG,379,21,28,26,7,9,7,5,4,2,1,0,3,6,2
GEOL,100,211,341,354,359,243,263,139,96,67,44,30,20,59,7
GEOL,103,1,14,18,6,11,5,0,3,3,0,1,0,1,0
GEOL,107,71,83,41,41,43,27,23,25,4,7,10,3,7,1
GEOL,117,32,26,24,18,15,9,5,8,1,1,0,1,11,1
GEOL,118,19,69,56,46,57,30,14,21,12,7,9,5,15,2
GEOL,143,13,13,5,2,5,5,0,0,0,0,1,0,1,0
GER,101,44,106,65,39,38,22,12,15,7,2,3,3,12,0
GER,102,19,62,54,49,31,28,16,9,9,2,1,0,5,5
GER,103,20,91,43,42,52,23,25,16,16,5,12,1,10,0
GER,250,13,42,25,16,7,0,2,3,0,0,0,0,1,0
GER,251,132,605,173,71,99,26,16,30,19,4,12,2,27,7
GLBL,100,374,736,350,178,145,36,29,32,19,11,20,12,65,0
GLBL,296,148,508,190,96,62,18,20,17,7,3,10,5,29,2
GS,101,3496,8991,1645,913,994,576,360,431,256,112,154,132,564,33
GS,102,39,133,35,25,29,13,6,7,7,7,4,6,19,0
GS,198,213,157,12,2,8,3,2,1,0,0,1,0,2,0
GS,199,1,147,11,3,6,2,1,3,1,0,1,3,11,0
GWS,100,104,612,382,279,398,190,112,138,62,25,34,29,91,8
GWS,202,149,170,125,70,78,31,17,16,5,3,9,4,25,5
GWS,275,238,103,43,25,41,18,4,15,7,2,4,3,23,2
HDFS,101,93,81,23,12,16,9,6,6,3,2,5,0,9,0
HDFS,105,1045,900,233,149,235,57,51,71,16,13,16,3,32,2
HDFS,120,2,258,92,79,84,26,24,31,8,3,6,1,15,1
HIST,100,334,1071,512,331,400,158,112,124,45,23,27,10,66,9
HIST,101,0,12,8,7,9,0,0,0,0,0,0,0,2,0
HIST,102,2,4,4,5,3,2,1,0,0,0,0,0,0,0
HIST,103,38,120,77,43,30,21,9,3,3,1,0,1,5,0
HIST,104,117,345,111,36,21,10,5,12,2,3,4,0,10,1
HIST,110,5,34,58,58,41,16,7,4,2,0,2,0,2,0
HIST,120,160,441,254,181,176,86,52,74,41,21,20,11,62,2
HIST,141,32,173,146,166,241,106,73,73,44,12,16,4,38,4
HIST,142,23,112,99,104,103,59,25,26,16,3,3,1,17,0
HIST,171,98,305,240,190,228,78,31,32,19,6,13,8,40,6
HIST,172,102,441,410,327,345,148,64,75,28,13,18,9,33,5
HIST,200,11,64,44,28,19,8,3,4,1,1,0,0,4,0
HIST,236,7,109,146,50,21,11,3,3,1,1,0,0,8,1
HIST,252,4,53,61,50,57,19,9,4,2,1,0,0,4,1
HIST,258,2,11,1,1,3,1,0,2,0,0,0,0,4,0
HIST,259,0,9,5,6,3,1,2,0,0,0,1,1,2,1
HIST,272,2,10,20,18,23,18,10,8,2,4,2,0,1,1
HIST,274,2,27,35,32,47,17,7,6,2,2,3,0,2,2
HIST,278,18,44,36,8,16,6,4,6,2,0,2,0,0,2
HIST,279,1,7,16,11,8,3,2,2,0,0,0,0,0,0
HIST,281,20,189,80,45,40,22,7,14,6,0,4,0,17,1
HIST,283,7,27,25,8,15,9,2,4,1,0,0,0,3,0
HIST,300,0,2,4,3,1,6,1,0,3,1,1,0,0,0
HIST,396,10,8,6,2,4,4,4,0,2,0,0,2,0,0
HORT,105,458,355,134,89,111,50,33,40,15,8,18,11,20,3
HORT,107,1,982,277,255,295,14,11,20,1,0,4,0,2,5
HRD,411,0,45,7,9,1,2,1,0,0,0,1,0,7,1
HRD,472,90,1,0,3,1,0,0,0,1,0,0,0,19,0
HRE,472,17,3,1,0,0,0,0,0,0,0,0,0,1,0
HRE,530,0,7,16,3,1,0,0,0,0,0,0,0,0,0
IB,100,0,923,0,0,560,0,0,250,0,0,99,0,118,14
IB,104,29,39,33,20,33,28,14,7,9,0,3,1,5,0
IB,105,330,668,557,394,388,233,133,145,91,71,47,67,156,21
IB,110,1,248,0,0,13,0,0,10,0,0,0,0,5,1
IB,150,372,1625,806,712,995,524,372,415,186,113,105,43,129,21
IB,151,188,535,245,126,157,33,29,34,9,6,5,1,10,2
IB,199,0,97,1,0,7,0,2,0,0,0,2,0,0,0
IB,203,10,34,6,6,7,0,1,0,0,0,0,0,0,0
IB,360,52,872,12,78,538,2,20,126,2,0,14,0,4,10
IE,300,91,268,302,261,310,244,206,180,114,84,74,61,98,17
IE,410,8,55,15,29,52,37,20,26,2,0,25,0,23,0
IE,525,1,18,12,5,0,0,0,0,0,0,0,0,0,0
IHLT,101,0,224,0,0,37,0,0,9,0,0,2,0,9,0
IHLT,102,26,10,5,6,1,0,1,0,0,0,1,0,1,0
IHLT,375,153,166,52,13,14,9,5,2,4,1,0,3,7,0
IHLT,474,0,161,0,0,15,0,0,1,0,0,0,0,7,0
IHLT,475,0,48,0,0,3,0,0,0,0,0,1,0,0,0
INFO,103,17,28,16,14,8,9,7,8,2,1,7,0,7,2
INFO,202,6,45,26,8,16,2,5,2,1,1,3,1,5,0
INFO,490,40,842,104,63,65,39,18,29,9,4,14,4,47,5
IS,100,226,42,30,11,5,5,4,2,2,1,0,0,5,0
IS,199,107,46,9,3,7,5,2,4,1,0,2,0,6,0
IS,203,1,28,10,11,1,2,1,1,1,0,0,0,0,0
IS,204,95,55,40,15,4,0,2,5,2,0,0,1,6,0
IS,205,2,59,15,5,7,2,2,7,0,0,0,1,16,0
IS,308,0,27,2,1,0,0,0,0,0,0,0,0,0,0
IS,413,8,7,3,1,0,0,0,1,1,0,0,0,0,0
IS,430,152,80,21,10,6,1,5,0,1,0,2,1,5,1
IS,445,0,123,2,5,0,1,0,1,0,0,0,1,1,0
IS,452,0,67,0,1,1,2,0,0,0,0,0,0,1,0
IS,455,11,53,13,8,6,4,0,1,2,1,0,0,0,0
IS,490,83,160,67,28,13,5,4,1,0,1,0,0,5,0
IS,501,90,1111,158,43,31,4,1,1,0,1,1,0,2,1
IS,502,8,364,298,205,111,50,9,4,1,0,3,0,1,4
IS,504,49,350,34,11,13,6,0,1,0,0,0,0,2,0
IS,505,74,257,25,14,14,3,2,2,1,0,0,0,0,0
IS,506,7,58,6,1,2,0,0,0,0,0,0,0,0,0
IS,507,23,82,25,2,12,1,0,1,0,0,0,0,1,0
IS,508,1,73,2,1,2,1,0,0,0,0,0,0,1,0
IS,510,34,181,31,10,6,2,0,1,0,0,0,0,3,0
IS,515,0,21,16,7,7,0,1,0,0,0,0,0,0,0
IS,517,0,27,2,0,1,0,0,0,0,0,0,0,0,0
IS,525,3,120,13,5,0,2,0,1,0,0,0,0,0,0
IS,530,0,74,5,1,2,2,0,1,0,0,0,0,0,0
IS,537,5,28,9,8,1,0,0,0,0,0,0,0,0,0
IS,542,1,18,30,10,7,4,2,7,0,0,0,0,0,0
IS,543,5,151,25,9,7,5,1,1,0,0,0,0,0,0
IS,551,7,21,7,0,11,0,0,0,0,1,0,0,1,0
IS,561,1,93,67,11,6,0,0,0,0,0,0,0,0,0
IS,571,0,26,0,0,1,0,0,0,0,0,0,0,0,0
IS,580,0,4,7,4,7,1,0,0,0,0,0,0,0,0
IS,581,13,112,28,10,2,0,0,0,0,0,2,0,0,0
IS,582,1,134,0,1,3,1,0,0,0,0,1,0,3,0
IS,590,177,795,225,62,55,11,9,15,2,1,3,0,2,2
IS,597,22,104,32,21,25,7,9,3,3,0,1,0,0,1
ITAL,101,0,202,0,0,142,0,0,84,0,0,22,0,9,3
ITAL,102,0,39,0,0,45,0,0,23,0,0,3,0,3,0
ITAL,103,0,42,0,0,37,0,0,12,0,0,2,0,1,0
JAPN,201,14,20,17,13,5,7,2,1,2,1,1,2,1,0
JAPN,203,3,9,11,1,1,8,4,3,4,0,0,1,0,0
JOUR,200,157,616,600,378,312,204,86,49,32,19,16,11,52,5
JOUR,411,2,8,0,2,16,0,1,21,0,0,5,0,0,1
JOUR,460,3,52,16,3,16,3,0,1,1,0,3,0,1,0
KIN,100,280,924,123,51,138,18,6,35,5,2,10,1,15,9
KIN,101,109,144,48,33,34,9,4,5,2,1,1,0,8,2
KIN,102,256,540,34,20,21,10,2,5,0,2,1,0,3,2
KIN,103,7,93,9,3,3,0,0,2,0,0,0,0,1,1
KIN,104,957,9551,91,39,840,1,5,357,1,1,115,0,198,60
KIN,107,138,49,2,1,3,1,1,1,0,0,0,0,6,2
KIN,109,76,893,47,25,64,13,4,14,4,0,5,0,5,2
KIN,122,2539,2232,2175,1030,907,537,294,264,185,76,93,49,335,20
KIN,130,45,140,96,52,23,3,2,0,2,0,0,0,2,0
KIN,131,5,41,0,0,5,0,0,0,0,0,0,0,0,0
KIN,142,0,3562,0,0,648,0,0,272,0,0,78,0,149,9
KIN,199,20,100,38,13,12,15,9,5,10,4,6,5,28,4
KIN,247,2,3396,178,101,424,36,32,135,16,6,53,7,91,9
KIN,249,4561,2705,1060,625,533,266,187,143,82,49,47,33,264,17
KIN,340,0,43,17,12,22,11,6,7,1,3,0,2,0,0
KIN,494,10,68,0,1,16,0,0,1,0,0,1,0,0,0
KOR,201,31,18,4,1,6,2,2,1,1,0,0,0,0,0
LA,101,40,21,12,2,8,6,2,1,1,2,0,0,3,0
LA,314,34,65,37,15,10,9,1,2,4,2,0,1,3,1
LAS,100,143,42,6,5,6,2,0,2,0,2,1,1,11,0
LAS,101,9634,6419,2007,903,1305,548,294,401,216,98,146,86,381,41
LAS,199,7,44,2,0,10,0,0,3,0,0,2,0,2,0
LAS,291,322,42,24,19,14,7,6,3,5,1,2,0,3,4
LAS,292,63,65,9,2,13,1,0,0,2,0,8,9,0,0
LAS,399,125,58,20,4,6,2,0,1,0,0,2,0,0,0
LAST,170,626,736,220,154,168,88,51,55,24,10,23,17,50,10
LAW,301,44,57,33,12,13,3,6,0,1,0,0,1,3,0
